,Well,Location,rfu,plate_unique,plate_well
0,1,A,289,sample_0,A1
1,1,B,107,sample_0,B1
2,1,C,107,sample_0,C1
3,1,D,128,sample_0,D1
4,1,E,203,sample_0,E1
5,1,F,1.83,sample_0,F1
6,1,G,2.7,sample_0,G1
7,1,H,5.53,sample_0,H1
8,2,A,289,sample_0,A2
9,2,B,107,sample_0,B2
10,2,C,107,sample_0,C2
11,2,D,128,sample_0,D2
12,2,E,203,sample_0,E2
13,2,F,1.83,sample_0,F2
14,2,G,2.7,sample_0,G2
15,2,H,5.53,sample_0,H2
16,3,A,289,sample_0,A3
17,3,B,107,sample_0,B3
18,3,C,107,sample_0,C3
19,3,D,128,sample_0,D3
20,3,E,203,sample_0,E3
21,3,F,1.83,sample_0,F3
22,3,G,2.7,sample_0,G3
23,3,H,5.53,sample_0,H3
24,4,A,289,sample_0,A4
25,4,B,107,sample_0,B4
26,4,C,107,sample_0,C4
27,4,D,128,sample_0,D4
28,4,E,203,sample_0,E4
29,4,F,1.83,sample_0,F4
30,4,G,2.7,sample_0,G4
31,4,H,5.53,sample_0,H4
32,5,A,289,sample_0,A5
33,5,B,107,sample_0,B5
34,5,C,107,sample_0,C5
35,5,D,128,sample_0,D5
36,5,E,203,sample_0,E5
37,5,F,1.83,sample_0,F5
38,5,G,2.7,sample_0,G5
39,5,H,5.53,sample_0,H5
40,6,A,289,sample_0,A6
41,6,B,107,sample_0,B6
42,6,C,107,sample_0,C6
43,6,D,128,sample_0,D6
44,6,E,203,sample_0,E6
45,6,F,1.83,sample_0,F6
46,6,G,2.7,sample_0,G6
47,6,H,5.53,sample_0,H6
48,7,A,289,sample_0,A7
49,7,B,107,sample_0,B7
50,7,C,107,sample_0,C7
51,7,D,128,sample_0,D7
52,7,E,203,sample_0,E7
53,7,F,1.83,sample_0,F7
54,7,G,2.7,sample_0,G7
55,7,H,5.53,sample_0,H7
56,8,A,289,sample_0,A8
57,8,B,107,sample_0,B8
58,8,C,107,sample_0,C8
59,8,D,128,sample_0,D8
60,8,E,203,sample_0,E8
61,8,F,1.83,sample_0,F8
62,8,G,2.7,sample_0,G8
63,8,H,5.53,sample_0,H8
64,9,A,289,sample_1,A9
65,9,B,107,sample_1,B9
66,9,C,107,sample_1,C9
67,9,D,128,sample_1,D9
68,9,E,203,sample_1,E9
69,9,F,1.83,sample_1,F9
70,9,G,2.7,sample_1,G9
71,9,H,5.53,sample_1,H9
72,10,A,289,sample_1,A10
73,10,B,107,sample_1,B10
74,10,C,107,sample_1,C10
75,10,D,128,sample_1,D10
76,10,E,203,sample_1,E10
77,10,F,1.83,sample_1,F10
78,10,G,2.7,sample_1,G10
79,10,H,5.53,sample_1,H10
80,11,A,289,sample_1,A11
81,11,B,107,sample_1,B11
82,11,C,107,sample_1,C11
83,11,D,128,sample_1,D11
84,11,E,203,sample_1,E11
85,11,F,1.83,sample_1,F11
86,11,G,2.7,sample_1,G11
87,11,H,5.53,sample_1,H11
88,12,A,289,sample_1,A12
89,12,B,107,sample_1,B12
90,12,C,107,sample_1,C12
91,12,D,128,sample_1,D12
92,12,E,203,sample_1,E12
93,12,F,1.83,sample_1,F12
94,12,G,2.7,sample_1,G12
95,12,H,5.53,sample_1,H12
96,13,A,289,sample_1,A13
97,13,B,107,sample_1,B13
98,13,C,107,sample_1,C13
99,13,D,128,sample_1,D13
100,13,E,203,sample_1,E13
101,13,F,1.83,sample_1,F13
102,13,G,2.7,sample_1,G13
103,13,H,5.53,sample_1,H13
104,14,A,289,sample_1,A14
105,14,B,107,sample_1,B14
106,14,C,107,sample_1,C14
107,14,D,128,sample_1,D14
108,14,E,203,sample_1,E14
109,14,F,1.83,sample_1,F14
