,Well,Location,rfu,plate_unique,plate_well
0,1,A,289.0,sample_0,A1
1,2,A,107.0,sample_0,A2
2,3,A,107.0,sample_0,A3
3,4,A,128.0,sample_0,A4
4,5,A,203.0,sample_0,A5
5,6,A,300.0,sample_0,A6
6,7,A,195.0,sample_0,A7
7,8,A,108.0,sample_0,A8
8,9,A,1.83,sample_0,A9
9,10,A,2.7,sample_0,A10
10,11,A,5.53,sample_0,A11
11,12,A,3.0,sample_0,A12
12,1,B,289.0,sample_0,B1
13,2,B,107.0,sample_0,B2
14,3,B,107.0,sample_0,B3
15,4,B,128.0,sample_0,B4
16,5,B,203.0,sample_0,B5
17,6,B,300.0,sample_0,B6
18,7,B,195.0,sample_0,B7
19,8,B,108.0,sample_0,B8
20,9,B,1.83,sample_0,B9
21,10,B,2.7,sample_0,B10
22,11,B,5.53,sample_0,B11
23,12,B,3.0,sample_0,B12
24,1,C,289.0,sample_0,C1
25,2,C,107.0,sample_0,C2
26,3,C,107.0,sample_0,C3
27,4,C,128.0,sample_0,C4
28,5,C,203.0,sample_0,C5
29,6,C,300.0,sample_0,C6
30,7,C,195.0,sample_0,C7
31,8,C,108.0,sample_0,C8
32,9,C,1.83,sample_0,C9
33,10,C,2.7,sample_0,C10
34,11,C,5.53,sample_0,C11
35,12,C,3.0,sample_0,C12
36,1,D,289.0,sample_0,D1
37,2,D,107.0,sample_0,D2
38,3,D,107.0,sample_0,D3
39,4,D,128.0,sample_0,D4
40,5,D,203.0,sample_0,D5
41,6,D,300.0,sample_0,D6
42,7,D,195.0,sample_0,D7
43,8,D,108.0,sample_0,D8
44,9,D,1.83,sample_0,D9
45,10,D,2.7,sample_0,D10
46,11,D,5.53,sample_0,D11
47,12,D,3.0,sample_0,D12
48,1,E,289.0,sample_0,E1
49,2,E,107.0,sample_0,E2
50,3,E,107.0,sample_0,E3
51,4,E,128.0,sample_0,E4
52,5,E,203.0,sample_0,E5
53,6,E,300.0,sample_0,E6
54,7,E,195.0,sample_0,E7
55,8,E,108.0,sample_0,E8
56,9,E,1.83,sample_0,E9
57,10,E,2.7,sample_0,E10
58,11,E,5.53,sample_0,E11
59,12,E,3.0,sample_0,E12
60,1,F,289.0,sample_0,F1
61,2,F,107.0,sample_0,F2
62,3,F,107.0,sample_0,F3
63,4,F,128.0,sample_0,F4
64,5,F,203.0,sample_0,F5
65,6,F,300.0,sample_0,F6
66,7,F,195.0,sample_0,F7
67,8,F,108.0,sample_0,F8
68,9,F,1.83,sample_0,F9
69,10,F,2.7,sample_0,F10
70,11,F,5.53,sample_0,F11
71,12,F,3.0,sample_0,F12
72,1,G,289.0,sample_0,G1
73,2,G,107.0,sample_0,G2
74,3,G,107.0,sample_0,G3
75,4,G,128.0,sample_0,G4
76,5,G,203.0,sample_0,G5
77,6,G,300.0,sample_0,G6
78,7,G,195.0,sample_0,G7
79,8,G,108.0,sample_0,G8
80,9,G,1.83,sample_0,G9
81,10,G,2.7,sample_0,G10
82,11,G,5.53,sample_0,G11
83,12,G,3.0,sample_0,G12
84,1,H,289.0,sample_0,H1
85,2,H,107.0,sample_0,H2
