Date,Open,High,Low,Close
06/08/2023,"4,268.69","4,298.01","4,261.07","4,293.93"
06/07/2023,"4,285.47","4,299.19","4,263.96","4,267.52"
06/06/2023,"4,271.34","4,288.33","4,263.09","4,283.85"
06/05/2023,"4,282.99","4,299.28","4,266.82","4,273.79"
06/02/2023,"4,241.01","4,290.67","4,241.01","4,282.37"
06/01/2023,"4,183.03","4,232.43","4,171.64","4,221.02"
05/31/2023,"4,190.74","4,195.44","4,166.15","4,179.83"
05/30/2023,"4,226.71","4,231.10","4,192.18","4,205.52"
05/26/2023,"4,155.98","4,212.87","4,156.16","4,205.45"
05/25/2023,"4,155.71","4,165.74","4,129.73","4,151.28"
05/24/2023,"4,132.96","4,132.96","4,103.98","4,115.24"
05/23/2023,"4,176.80","4,185.68","4,142.54","4,145.58"
05/22/2023,"4,190.78","4,209.22","4,179.68","4,192.63"
05/19/2023,"4,204.15","4,212.91","4,180.20","4,191.98"
05/18/2023,"4,157.68","4,202.20","4,153.50","4,198.05"
05/17/2023,"4,122.85","4,164.67","4,113.62","4,158.77"
05/16/2023,"4,127.95","4,135.54","4,109.86","4,109.90"
05/15/2023,"4,126.65","4,141.25","4,110.27","4,136.28"
05/12/2023,"4,138.54","4,143.74","4,099.12","4,124.08"
05/11/2023,"4,132.24","4,132.80","4,109.29","4,130.62"
05/10/2023,"4,143.74","4,154.28","4,098.92","4,137.64"
05/09/2023,"4,124.25","4,130.35","4,116.65","4,119.17"
